,range,count,Frequency1,range2,count2,Frequency2
80,"(4800, 4860]",692,11.533333333333333,"(4800, 4860]",136,2.2666666666666666
81,"(4860, 4920]",533,8.883333333333333,"(4860, 4920]",140,2.3333333333333335
82,"(4920, 4980]",301,5.016666666666667,"(4920, 4980]",113,1.8833333333333333
83,"(4980, 5040]",551,9.183333333333334,"(4980, 5040]",77,1.2833333333333334
84,"(5040, 5100]",240,4.0,"(5040, 5100]",105,1.75
85,"(5100, 5160]",55,0.9166666666666666,"(5100, 5160]",28,0.4666666666666667
86,"(5160, 5220]",586,9.766666666666667,"(5160, 5220]",136,2.2666666666666666
87,"(5220, 5280]",291,4.85,"(5220, 5280]",80,1.3333333333333333
88,"(5280, 5340]",46,0.7666666666666667,"(5280, 5340]",9,0.15
89,"(5340, 5400]",297,4.95,"(5340, 5400]",74,1.2333333333333334
90,"(5400, 5460]",25,0.4166666666666667,"(5400, 5460]",5,0.08333333333333333
91,"(5460, 5520]",1,0.016666666666666666,"(5460, 5520]",0,0.0
92,"(5520, 5580]",139,2.316666666666667,"(5520, 5580]",32,0.5333333333333333
93,"(5580, 5640]",143,2.3833333333333333,"(5580, 5640]",16,0.26666666666666666
94,"(5640, 5700]",251,4.183333333333334,"(5640, 5700]",89,1.4833333333333334
95,"(5700, 5760]",683,11.383333333333333,"(5700, 5760]",91,1.5166666666666666
96,"(5760, 5820]",186,3.1,"(5760, 5820]",67,1.1166666666666667
97,"(5820, 5880]",55,0.9166666666666666,"(5820, 5880]",61,1.0166666666666666
98,"(5880, 5940]",307,5.116666666666666,"(5880, 5940]",114,1.9
99,"(5940, 6000]",270,4.5,"(5940, 6000]",130,2.1666666666666665
100,"(6000, 6060]",8,0.13333333333333333,"(6000, 6060]",0,0.0
101,"(6060, 6120]",94,1.5666666666666667,"(6060, 6120]",11,0.18333333333333332
102,"(6120, 6180]",162,2.7,"(6120, 6180]",59,0.9833333333333333
103,"(6180, 6240]",9,0.15,"(6180, 6240]",9,0.15
104,"(6240, 6300]",8,0.13333333333333333,"(6240, 6300]",21,0.35
105,"(6300, 6360]",318,5.3,"(6300, 6360]",152,2.533333333333333
106,"(6360, 6420]",187,3.1166666666666667,"(6360, 6420]",56,0.9333333333333333
