,range2,count2,Frequency2
0,"(0, 60]",67,1.1166666666666667
1,"(60, 120]",63,1.05
2,"(120, 180]",80,1.3333333333333333
3,"(180, 240]",76,1.2666666666666666
4,"(240, 300]",49,0.8166666666666667
5,"(300, 360]",52,0.8666666666666667
6,"(360, 420]",43,0.7166666666666667
7,"(420, 480]",59,0.9833333333333333
8,"(480, 540]",72,1.2
9,"(540, 600]",96,1.6
10,"(600, 660]",68,1.1333333333333333
11,"(660, 720]",75,1.25
12,"(720, 780]",76,1.2666666666666666
13,"(780, 840]",45,0.75
14,"(840, 900]",27,0.45
15,"(900, 960]",23,0.38333333333333336
16,"(960, 1020]",51,0.85
17,"(1020, 1080]",17,0.2833333333333333
18,"(1080, 1140]",42,0.7
19,"(1140, 1200]",44,0.7333333333333333
20,"(1200, 1260]",51,0.85
21,"(1260, 1320]",64,1.0666666666666667
22,"(1320, 1380]",64,1.0666666666666667
23,"(1380, 1440]",73,1.2166666666666666
24,"(1440, 1500]",47,0.7833333333333333
25,"(1500, 1560]",61,1.0166666666666666
26,"(1560, 1620]",30,0.5
27,"(1620, 1680]",32,0.5333333333333333
28,"(1680, 1740]",17,0.2833333333333333
29,"(1740, 1800]",41,0.6833333333333333
30,"(1800, 1860]",77,1.2833333333333334
31,"(1860, 1920]",70,1.1666666666666667
32,"(1920, 1980]",47,0.7833333333333333
33,"(1980, 2040]",20,0.3333333333333333
34,"(2040, 2100]",45,0.75
35,"(2100, 2160]",55,0.9166666666666666
36,"(2160, 2220]",28,0.4666666666666667
37,"(2220, 2280]",16,0.26666666666666666
38,"(2280, 2340]",44,0.7333333333333333
39,"(2340, 2400]",85,1.4166666666666667
40,"(2400, 2460]",81,1.35
41,"(2460, 2520]",59,0.9833333333333333
42,"(2520, 2580]",54,0.9
43,"(2580, 2640]",81,1.35
44,"(2640, 2700]",59,0.9833333333333333
45,"(2700, 2760]",68,1.1333333333333333
46,"(2760, 2820]",59,0.9833333333333333
47,"(2820, 2880]",66,1.1
48,"(2880, 2940]",70,1.1666666666666667
49,"(2940, 3000]",59,0.9833333333333333
50,"(3000, 3060]",71,1.1833333333333333
51,"(3060, 3120]",68,1.1333333333333333
