,range,count,Frequency1
155,"(9300, 9360]",1594,26.566666666666666
156,"(9360, 9420]",1665,27.75
157,"(9420, 9480]",2177,36.28333333333333
158,"(9480, 9540]",1567,26.116666666666667
159,"(9540, 9600]",2213,36.88333333333333
160,"(9600, 9660]",1655,27.583333333333332
161,"(9660, 9720]",1595,26.583333333333332
162,"(9720, 9780]",1010,16.833333333333332
163,"(9780, 9840]",535,8.916666666666666
164,"(9840, 9900]",1791,29.85
165,"(9900, 9960]",786,13.1
166,"(9960, 10020]",416,6.933333333333334
167,"(10020, 10080]",1004,16.733333333333334
168,"(10080, 10140]",819,13.65
169,"(10140, 10200]",681,11.35
170,"(10200, 10260]",224,3.7333333333333334
171,"(10260, 10320]",1122,18.7
172,"(10320, 10380]",1079,17.983333333333334
173,"(10380, 10440]",965,16.083333333333332
174,"(10440, 10500]",954,15.9
175,"(10500, 10560]",810,13.5
176,"(10560, 10620]",915,15.25
177,"(10620, 10680]",754,12.566666666666666
178,"(10680, 10740]",908,15.133333333333333
179,"(10740, 10800]",800,13.333333333333334
180,"(10800, 10860]",1201,20.016666666666666
181,"(10860, 10920]",1304,21.733333333333334
182,"(10920, 10980]",1184,19.733333333333334
183,"(10980, 11040]",1365,22.75
184,"(11040, 11100]",1383,23.05
185,"(11100, 11160]",1222,20.366666666666667
186,"(11160, 11220]",1400,23.333333333333332
187,"(11220, 11280]",1257,20.95
188,"(11280, 11340]",1235,20.583333333333332
189,"(11340, 11400]",739,12.316666666666666
190,"(11400, 11460]",822,13.7
191,"(11460, 11520]",303,5.05
192,"(11520, 11580]",183,3.05
193,"(11580, 11640]",889,14.816666666666666
194,"(11640, 11700]",734,12.233333333333333
195,"(11700, 11760]",1447,24.116666666666667
196,"(11760, 11820]",924,15.4
197,"(11820, 11880]",1862,31.033333333333335
198,"(11880, 11940]",310,5.166666666666667
199,"(11940, 12000]",1505,25.083333333333332
200,"(12000, 12060]",129,2.15
201,"(12060, 12120]",945,15.75
202,"(12120, 12180]",1103,18.383333333333333
203,"(12180, 12240]",653,10.883333333333333
204,"(12240, 12300]",1211,20.183333333333334
205,"(12300, 12360]",1205,20.083333333333332
206,"(12360, 12420]",966,16.1
207,"(12420, 12480]",2314,38.56666666666667
208,"(12480, 12540]",1511,25.183333333333334
209,"(12540, 12600]",1099,18.316666666666666
210,"(12600, 12660]",74,1.2333333333333334
211,"(12660, 12720]",116,1.9333333333333333
212,"(12720, 12780]",0,0.0
213,"(12780, 12840]",460,7.666666666666667
214,"(12840, 12900]",761,12.683333333333334
215,"(12900, 12960]",2513,41.88333333333333
216,"(12960, 13020]",1247,20.783333333333335
217,"(13020, 13080]",1071,17.85
218,"(13080, 13140]",743,12.383333333333333
219,"(13140, 13200]",30,0.5
220,"(13200, 13260]",3,0.05
221,"(13260, 13320]",2060,34.333333333333336
222,"(13320, 13380]",299,4.983333333333333
223,"(13380, 13440]",1847,30.783333333333335
224,"(13440, 13500]",890,14.833333333333334
225,"(13500, 13560]",536,8.933333333333334
226,"(13560, 13620]",794,13.233333333333333
227,"(13620, 13680]",821,13.683333333333334
228,"(13680, 13740]",898,14.966666666666667
229,"(13740, 13800]",1113,18.55
230,"(13800, 13860]",661,11.016666666666667
231,"(13860, 13920]",149,2.4833333333333334
232,"(13920, 13980]",1,0.016666666666666666
233,"(13980, 14040]",299,4.983333333333333
234,"(14040, 14100]",724,12.066666666666666
235,"(14100, 14160]",559,9.316666666666666
236,"(14160, 14220]",2091,34.85
237,"(14220, 14280]",1708,28.466666666666665
238,"(14280, 14340]",643,10.716666666666667
239,"(14340, 14400]",627,10.45
240,"(14400, 14460]",162,2.7
241,"(14460, 14520]",245,4.083333333333333
242,"(14520, 14580]",332,5.533333333333333
243,"(14580, 14640]",480,8.0
244,"(14640, 14700]",1314,21.9
245,"(14700, 14760]",1550,25.833333333333332
246,"(14760, 14820]",1123,18.716666666666665
247,"(14820, 14880]",655,10.916666666666666
248,"(14880, 14940]",1004,16.733333333333334
249,"(14940, 15000]",1873,31.216666666666665
250,"(15000, 15060]",2071,34.516666666666666
251,"(15060, 15120]",1447,24.116666666666667
252,"(15120, 15180]",1638,27.3
253,"(15180, 15240]",1913,31.883333333333333
254,"(15240, 15300]",695,11.583333333333334
255,"(15300, 15360]",0,0.0
256,"(15360, 15420]",2,0.03333333333333333
257,"(15420, 15480]",39,0.65
258,"(15480, 15540]",709,11.816666666666666
259,"(15540, 15600]",1577,26.283333333333335
260,"(15600, 15660]",582,9.7
261,"(15660, 15720]",380,6.333333333333333
262,"(15720, 15780]",1292,21.533333333333335
