,range2,count2,Frequency2
152,"(9120, 9180]",91,1.5166666666666666
153,"(9180, 9240]",88,1.4666666666666666
154,"(9240, 9300]",84,1.4
155,"(9300, 9360]",49,0.8166666666666667
156,"(9360, 9420]",182,3.033333333333333
157,"(9420, 9480]",249,4.15
158,"(9480, 9540]",211,3.5166666666666666
159,"(9540, 9600]",94,1.5666666666666667
160,"(9600, 9660]",186,3.1
161,"(9660, 9720]",120,2.0
162,"(9720, 9780]",0,0.0
163,"(9780, 9840]",0,0.0
164,"(9840, 9900]",0,0.0
165,"(9900, 9960]",102,1.7
166,"(9960, 10020]",34,0.5666666666666667
167,"(10020, 10080]",0,0.0
168,"(10080, 10140]",0,0.0
169,"(10140, 10200]",63,1.05
170,"(10200, 10260]",7,0.11666666666666667
171,"(10260, 10320]",31,0.5166666666666667
172,"(10320, 10380]",0,0.0
173,"(10380, 10440]",0,0.0
174,"(10440, 10500]",77,1.2833333333333334
175,"(10500, 10560]",63,1.05
176,"(10560, 10620]",119,1.9833333333333334
177,"(10620, 10680]",81,1.35
178,"(10680, 10740]",93,1.55
179,"(10740, 10800]",68,1.1333333333333333
180,"(10800, 10860]",193,3.216666666666667
181,"(10860, 10920]",83,1.3833333333333333
182,"(10920, 10980]",59,0.9833333333333333
183,"(10980, 11040]",192,3.2
184,"(11040, 11100]",179,2.9833333333333334
185,"(11100, 11160]",52,0.8666666666666667
186,"(11160, 11220]",99,1.65
187,"(11220, 11280]",115,1.9166666666666667
188,"(11280, 11340]",81,1.35
189,"(11340, 11400]",164,2.7333333333333334
190,"(11400, 11460]",70,1.1666666666666667
191,"(11460, 11520]",32,0.5333333333333333
192,"(11520, 11580]",111,1.85
193,"(11580, 11640]",89,1.4833333333333334
194,"(11640, 11700]",131,2.183333333333333
195,"(11700, 11760]",136,2.2666666666666666
196,"(11760, 11820]",12,0.2
197,"(11820, 11880]",5,0.08333333333333333
198,"(11880, 11940]",90,1.5
199,"(11940, 12000]",28,0.4666666666666667
200,"(12000, 12060]",6,0.1
201,"(12060, 12120]",0,0.0
202,"(12120, 12180]",334,5.566666666666666
203,"(12180, 12240]",1459,24.316666666666666
204,"(12240, 12300]",1401,23.35
205,"(12300, 12360]",1523,25.383333333333333
206,"(12360, 12420]",1389,23.15
207,"(12420, 12480]",1137,18.95
208,"(12480, 12540]",1125,18.75
209,"(12540, 12600]",1138,18.966666666666665
210,"(12600, 12660]",1053,17.55
211,"(12660, 12720]",1566,26.1
212,"(12720, 12780]",804,13.4
213,"(12780, 12840]",102,1.7
214,"(12840, 12900]",58,0.9666666666666667
215,"(12900, 12960]",160,2.6666666666666665
216,"(12960, 13020]",76,1.2666666666666666
217,"(13020, 13080]",112,1.8666666666666667
218,"(13080, 13140]",26,0.43333333333333335
219,"(13140, 13200]",17,0.2833333333333333
220,"(13200, 13260]",27,0.45
221,"(13260, 13320]",75,1.25
222,"(13320, 13380]",36,0.6
223,"(13380, 13440]",0,0.0
224,"(13440, 13500]",0,0.0
225,"(13500, 13560]",16,0.26666666666666666
226,"(13560, 13620]",46,0.7666666666666667
227,"(13620, 13680]",63,1.05
228,"(13680, 13740]",19,0.31666666666666665
229,"(13740, 13800]",0,0.0
230,"(13800, 13860]",120,2.0
231,"(13860, 13920]",181,3.0166666666666666
232,"(13920, 13980]",96,1.6
233,"(13980, 14040]",0,0.0
234,"(14040, 14100]",0,0.0
235,"(14100, 14160]",0,0.0
236,"(14160, 14220]",121,2.0166666666666666
237,"(14220, 14280]",29,0.48333333333333334
238,"(14280, 14340]",26,0.43333333333333335
239,"(14340, 14400]",65,1.0833333333333333
240,"(14400, 14460]",56,0.9333333333333333
241,"(14460, 14520]",18,0.3
242,"(14520, 14580]",24,0.4
243,"(14580, 14640]",50,0.8333333333333334
244,"(14640, 14700]",2,0.03333333333333333
245,"(14700, 14760]",0,0.0
246,"(14760, 14820]",34,0.5666666666666667
247,"(14820, 14880]",0,0.0
248,"(14880, 14940]",10,0.16666666666666666
249,"(14940, 15000]",15,0.25
250,"(15000, 15060]",86,1.4333333333333333
