,range2,count2,Frequency2
0,"(0, 60]",67,1.1166666666666667
1,"(60, 120]",43,0.7166666666666667
2,"(120, 180]",93,1.55
3,"(180, 240]",32,0.5333333333333333
4,"(240, 300]",61,1.0166666666666666
5,"(300, 360]",76,1.2666666666666666
6,"(360, 420]",98,1.6333333333333333
7,"(420, 480]",43,0.7166666666666667
8,"(480, 540]",67,1.1166666666666667
9,"(540, 600]",66,1.1
10,"(600, 660]",117,1.95
11,"(660, 720]",108,1.8
12,"(720, 780]",267,4.45
13,"(780, 840]",85,1.4166666666666667
14,"(840, 900]",16,0.26666666666666666
15,"(900, 960]",0,0.0
16,"(960, 1020]",98,1.6333333333333333
17,"(1020, 1080]",97,1.6166666666666667
18,"(1080, 1140]",164,2.7333333333333334
19,"(1140, 1200]",131,2.183333333333333
20,"(1200, 1260]",262,4.366666666666666
21,"(1260, 1320]",125,2.0833333333333335
22,"(1320, 1380]",199,3.316666666666667
23,"(1380, 1440]",99,1.65
24,"(1440, 1500]",149,2.4833333333333334
25,"(1500, 1560]",88,1.4666666666666666
26,"(1560, 1620]",91,1.5166666666666666
27,"(1620, 1680]",28,0.4666666666666667
28,"(1680, 1740]",118,1.9666666666666666
29,"(1740, 1800]",0,0.0
30,"(1800, 1860]",54,0.9
31,"(1860, 1920]",0,0.0
32,"(1920, 1980]",30,0.5
33,"(1980, 2040]",151,2.5166666666666666
34,"(2040, 2100]",111,1.85
35,"(2100, 2160]",282,4.7
36,"(2160, 2220]",247,4.116666666666666
37,"(2220, 2280]",247,4.116666666666666
38,"(2280, 2340]",105,1.75
39,"(2340, 2400]",217,3.6166666666666667
40,"(2400, 2460]",162,2.7
41,"(2460, 2520]",20,0.3333333333333333
42,"(2520, 2580]",0,0.0
43,"(2580, 2640]",122,2.033333333333333
44,"(2640, 2700]",172,2.8666666666666667
45,"(2700, 2760]",247,4.116666666666666
46,"(2760, 2820]",62,1.0333333333333334
47,"(2820, 2880]",56,0.9333333333333333
48,"(2880, 2940]",78,1.3
49,"(2940, 3000]",40,0.6666666666666666
50,"(3000, 3060]",95,1.5833333333333333
51,"(3060, 3120]",23,0.38333333333333336
52,"(3120, 3180]",169,2.816666666666667
53,"(3180, 3240]",171,2.85
54,"(3240, 3300]",188,3.1333333333333333
55,"(3300, 3360]",186,3.1
56,"(3360, 3420]",182,3.033333333333333
57,"(3420, 3480]",241,4.016666666666667
58,"(3480, 3540]",39,0.65
59,"(3540, 3600]",142,2.3666666666666667
60,"(3600, 3660]",382,6.366666666666666
61,"(3660, 3720]",122,2.033333333333333
62,"(3720, 3780]",122,2.033333333333333
63,"(3780, 3840]",0,0.0
64,"(3840, 3900]",38,0.6333333333333333
65,"(3900, 3960]",160,2.6666666666666665
66,"(3960, 4020]",121,2.0166666666666666
67,"(4020, 4080]",134,2.2333333333333334
68,"(4080, 4140]",110,1.8333333333333333
69,"(4140, 4200]",113,1.8833333333333333
70,"(4200, 4260]",66,1.1
71,"(4260, 4320]",141,2.35
72,"(4320, 4380]",49,0.8166666666666667
73,"(4380, 4440]",160,2.6666666666666665
74,"(4440, 4500]",160,2.6666666666666665
75,"(4500, 4560]",73,1.2166666666666666
76,"(4560, 4620]",58,0.9666666666666667
77,"(4620, 4680]",75,1.25
78,"(4680, 4740]",167,2.783333333333333
79,"(4740, 4800]",27,0.45
80,"(4800, 4860]",161,2.683333333333333
81,"(4860, 4920]",92,1.5333333333333334
82,"(4920, 4980]",209,3.4833333333333334
83,"(4980, 5040]",94,1.5666666666666667
84,"(5040, 5100]",70,1.1666666666666667
85,"(5100, 5160]",134,2.2333333333333334
86,"(5160, 5220]",187,3.1166666666666667
87,"(5220, 5280]",147,2.45
88,"(5280, 5340]",0,0.0
89,"(5340, 5400]",76,1.2666666666666666
90,"(5400, 5460]",2,0.03333333333333333
91,"(5460, 5520]",151,2.5166666666666666
92,"(5520, 5580]",173,2.8833333333333333
93,"(5580, 5640]",290,4.833333333333333
94,"(5640, 5700]",200,3.3333333333333335
95,"(5700, 5760]",117,1.95
96,"(5760, 5820]",92,1.5333333333333334
97,"(5820, 5880]",24,0.4
98,"(5880, 5940]",60,1.0
99,"(5940, 6000]",38,0.6333333333333333
100,"(6000, 6060]",67,1.1166666666666667
101,"(6060, 6120]",149,2.4833333333333334
102,"(6120, 6180]",196,3.2666666666666666
103,"(6180, 6240]",92,1.5333333333333334
104,"(6240, 6300]",123,2.05
105,"(6300, 6360]",86,1.4333333333333333
106,"(6360, 6420]",59,0.9833333333333333
107,"(6420, 6480]",45,0.75
108,"(6480, 6540]",52,0.8666666666666667
109,"(6540, 6600]",49,0.8166666666666667
110,"(6600, 6660]",114,1.9
111,"(6660, 6720]",209,3.4833333333333334
112,"(6720, 6780]",207,3.45
113,"(6780, 6840]",192,3.2
114,"(6840, 6900]",249,4.15
115,"(6900, 6960]",170,2.8333333333333335
116,"(6960, 7020]",211,3.5166666666666666
117,"(7020, 7080]",213,3.55
118,"(7080, 7140]",151,2.5166666666666666
119,"(7140, 7200]",236,3.933333333333333
120,"(7200, 7260]",92,1.5333333333333334
121,"(7260, 7320]",152,2.533333333333333
122,"(7320, 7380]",329,5.483333333333333
123,"(7380, 7440]",192,3.2
124,"(7440, 7500]",163,2.716666666666667
125,"(7500, 7560]",183,3.05
126,"(7560, 7620]",167,2.783333333333333
127,"(7620, 7680]",97,1.6166666666666667
128,"(7680, 7740]",105,1.75
129,"(7740, 7800]",209,3.4833333333333334
130,"(7800, 7860]",1,0.016666666666666666
131,"(7860, 7920]",154,2.566666666666667
132,"(7920, 7980]",204,3.4
133,"(7980, 8040]",212,3.533333333333333
134,"(8040, 8100]",293,4.883333333333334
135,"(8100, 8160]",261,4.35
136,"(8160, 8220]",37,0.6166666666666667
137,"(8220, 8280]",56,0.9333333333333333
138,"(8280, 8340]",215,3.5833333333333335
139,"(8340, 8400]",119,1.9833333333333334
140,"(8400, 8460]",136,2.2666666666666666
141,"(8460, 8520]",0,0.0
142,"(8520, 8580]",160,2.6666666666666665
143,"(8580, 8640]",54,0.9
144,"(8640, 8700]",26,0.43333333333333335
145,"(8700, 8760]",62,1.0333333333333334
146,"(8760, 8820]",4,0.06666666666666667
147,"(8820, 8880]",0,0.0
148,"(8880, 8940]",0,0.0
149,"(8940, 9000]",35,0.5833333333333334
