,range2,count2,Frequency2
0,"(0, 60]",127,2.1166666666666667
1,"(60, 120]",291,4.85
2,"(120, 180]",32,0.5333333333333333
3,"(180, 240]",145,2.4166666666666665
4,"(240, 300]",194,3.2333333333333334
5,"(300, 360]",200,3.3333333333333335
6,"(360, 420]",129,2.15
7,"(420, 480]",197,3.283333333333333
8,"(480, 540]",92,1.5333333333333334
9,"(540, 600]",84,1.4
10,"(600, 660]",210,3.5
11,"(660, 720]",136,2.2666666666666666
12,"(720, 780]",162,2.7
13,"(780, 840]",171,2.85
14,"(840, 900]",114,1.9
15,"(900, 960]",94,1.5666666666666667
16,"(960, 1020]",164,2.7333333333333334
17,"(1020, 1080]",175,2.9166666666666665
18,"(1080, 1140]",19,0.31666666666666665
19,"(1140, 1200]",79,1.3166666666666667
20,"(1200, 1260]",138,2.3
21,"(1260, 1320]",177,2.95
22,"(1320, 1380]",240,4.0
23,"(1380, 1440]",105,1.75
24,"(1440, 1500]",47,0.7833333333333333
25,"(1500, 1560]",147,2.45
26,"(1560, 1620]",120,2.0
27,"(1620, 1680]",188,3.1333333333333333
28,"(1680, 1740]",142,2.3666666666666667
29,"(1740, 1800]",150,2.5
30,"(1800, 1860]",91,1.5166666666666666
31,"(1860, 1920]",164,2.7333333333333334
32,"(1920, 1980]",27,0.45
33,"(1980, 2040]",80,1.3333333333333333
34,"(2040, 2100]",29,0.48333333333333334
35,"(2100, 2160]",118,1.9666666666666666
36,"(2160, 2220]",146,2.433333333333333
37,"(2220, 2280]",92,1.5333333333333334
38,"(2280, 2340]",146,2.433333333333333
39,"(2340, 2400]",109,1.8166666666666667
40,"(2400, 2460]",96,1.6
41,"(2460, 2520]",52,0.8666666666666667
42,"(2520, 2580]",138,2.3
43,"(2580, 2640]",60,1.0
44,"(2640, 2700]",129,2.15
45,"(2700, 2760]",291,4.85
46,"(2760, 2820]",111,1.85
47,"(2820, 2880]",110,1.8333333333333333
48,"(2880, 2940]",103,1.7166666666666666
49,"(2940, 3000]",101,1.6833333333333333
50,"(3000, 3060]",50,0.8333333333333334
51,"(3060, 3120]",184,3.066666666666667
52,"(3120, 3180]",240,4.0
53,"(3180, 3240]",197,3.283333333333333
54,"(3240, 3300]",224,3.7333333333333334
55,"(3300, 3360]",234,3.9
56,"(3360, 3420]",248,4.133333333333334
57,"(3420, 3480]",216,3.6
58,"(3480, 3540]",162,2.7
59,"(3540, 3600]",33,0.55
60,"(3600, 3660]",135,2.25
61,"(3660, 3720]",389,6.483333333333333
62,"(3720, 3780]",303,5.05
63,"(3780, 3840]",154,2.566666666666667
64,"(3840, 3900]",166,2.7666666666666666
65,"(3900, 3960]",125,2.0833333333333335
66,"(3960, 4020]",99,1.65
67,"(4020, 4080]",182,3.033333333333333
68,"(4080, 4140]",250,4.166666666666667
69,"(4140, 4200]",422,7.033333333333333
70,"(4200, 4260]",351,5.85
71,"(4260, 4320]",125,2.0833333333333335
72,"(4320, 4380]",154,2.566666666666667
73,"(4380, 4440]",135,2.25
74,"(4440, 4500]",94,1.5666666666666667
75,"(4500, 4560]",282,4.7
76,"(4560, 4620]",160,2.6666666666666665
77,"(4620, 4680]",18,0.3
78,"(4680, 4740]",77,1.2833333333333334
79,"(4740, 4800]",104,1.7333333333333334
80,"(4800, 4860]",225,3.75
81,"(4860, 4920]",191,3.183333333333333
82,"(4920, 4980]",86,1.4333333333333333
83,"(4980, 5040]",83,1.3833333333333333
84,"(5040, 5100]",82,1.3666666666666667
85,"(5100, 5160]",0,0.0
86,"(5160, 5220]",0,0.0
87,"(5220, 5280]",0,0.0
88,"(5280, 5340]",1,0.016666666666666666
89,"(5340, 5400]",3,0.05
90,"(5400, 5460]",66,1.1
91,"(5460, 5520]",21,0.35
92,"(5520, 5580]",131,2.183333333333333
93,"(5580, 5640]",74,1.2333333333333334
94,"(5640, 5700]",243,4.05
95,"(5700, 5760]",167,2.783333333333333
96,"(5760, 5820]",150,2.5
97,"(5820, 5880]",121,2.0166666666666666
98,"(5880, 5940]",155,2.5833333333333335
99,"(5940, 6000]",209,3.4833333333333334
100,"(6000, 6060]",312,5.2
101,"(6060, 6120]",264,4.4
102,"(6120, 6180]",298,4.966666666666667
103,"(6180, 6240]",195,3.25
104,"(6240, 6300]",161,2.683333333333333
105,"(6300, 6360]",79,1.3166666666666667
106,"(6360, 6420]",425,7.083333333333333
107,"(6420, 6480]",142,2.3666666666666667
108,"(6480, 6540]",295,4.916666666666667
109,"(6540, 6600]",469,7.816666666666666
110,"(6600, 6660]",253,4.216666666666667
111,"(6660, 6720]",128,2.1333333333333333
112,"(6720, 6780]",26,0.43333333333333335
113,"(6780, 6840]",177,2.95
114,"(6840, 6900]",352,5.866666666666666
115,"(6900, 6960]",288,4.8
116,"(6960, 7020]",373,6.216666666666667
117,"(7020, 7080]",469,7.816666666666666
118,"(7080, 7140]",415,6.916666666666667
119,"(7140, 7200]",240,4.0
120,"(7200, 7260]",285,4.75
121,"(7260, 7320]",246,4.1
122,"(7320, 7380]",340,5.666666666666667
123,"(7380, 7440]",589,9.816666666666666
124,"(7440, 7500]",418,6.966666666666667
125,"(7500, 7560]",255,4.25
126,"(7560, 7620]",399,6.65
127,"(7620, 7680]",506,8.433333333333334
128,"(7680, 7740]",413,6.883333333333334
129,"(7740, 7800]",454,7.566666666666666
130,"(7800, 7860]",482,8.033333333333333
131,"(7860, 7920]",329,5.483333333333333
132,"(7920, 7980]",111,1.85
133,"(7980, 8040]",211,3.5166666666666666
134,"(8040, 8100]",226,3.7666666666666666
135,"(8100, 8160]",96,1.6
136,"(8160, 8220]",156,2.6
137,"(8220, 8280]",218,3.6333333333333333
138,"(8280, 8340]",105,1.75
139,"(8340, 8400]",103,1.7166666666666666
140,"(8400, 8460]",61,1.0166666666666666
141,"(8460, 8520]",175,2.9166666666666665
142,"(8520, 8580]",149,2.4833333333333334
143,"(8580, 8640]",64,1.0666666666666667
144,"(8640, 8700]",101,1.6833333333333333
145,"(8700, 8760]",155,2.5833333333333335
146,"(8760, 8820]",152,2.533333333333333
147,"(8820, 8880]",153,2.55
148,"(8880, 8940]",172,2.8666666666666667
149,"(8940, 9000]",154,2.566666666666667
150,"(9000, 9060]",93,1.55
151,"(9060, 9120]",53,0.8833333333333333
152,"(9120, 9180]",113,1.8833333333333333
153,"(9180, 9240]",162,2.7
154,"(9240, 9300]",62,1.0333333333333334
155,"(9300, 9360]",103,1.7166666666666666
156,"(9360, 9420]",54,0.9
157,"(9420, 9480]",116,1.9333333333333333
158,"(9480, 9540]",110,1.8333333333333333
159,"(9540, 9600]",370,6.166666666666667
160,"(9600, 9660]",356,5.933333333333334
161,"(9660, 9720]",373,6.216666666666667
162,"(9720, 9780]",257,4.283333333333333
163,"(9780, 9840]",147,2.45
164,"(9840, 9900]",103,1.7166666666666666
165,"(9900, 9960]",16,0.26666666666666666
166,"(9960, 10020]",161,2.683333333333333
167,"(10020, 10080]",84,1.4
168,"(10080, 10140]",117,1.95
169,"(10140, 10200]",79,1.3166666666666667
170,"(10200, 10260]",132,2.2
171,"(10260, 10320]",136,2.2666666666666666
172,"(10320, 10380]",126,2.1
173,"(10380, 10440]",65,1.0833333333333333
174,"(10440, 10500]",156,2.6
175,"(10500, 10560]",108,1.8
176,"(10560, 10620]",89,1.4833333333333334
177,"(10620, 10680]",103,1.7166666666666666
178,"(10680, 10740]",188,3.1333333333333333
179,"(10740, 10800]",63,1.05
180,"(10800, 10860]",107,1.7833333333333334
181,"(10860, 10920]",129,2.15
182,"(10920, 10980]",89,1.4833333333333334
183,"(10980, 11040]",7,0.11666666666666667
184,"(11040, 11100]",29,0.48333333333333334
185,"(11100, 11160]",131,2.183333333333333
186,"(11160, 11220]",18,0.3
187,"(11220, 11280]",0,0.0
188,"(11280, 11340]",3,0.05
189,"(11340, 11400]",298,4.966666666666667
190,"(11400, 11460]",192,3.2
191,"(11460, 11520]",203,3.3833333333333333
192,"(11520, 11580]",224,3.7333333333333334
193,"(11580, 11640]",115,1.9166666666666667
194,"(11640, 11700]",191,3.183333333333333
195,"(11700, 11760]",285,4.75
196,"(11760, 11820]",89,1.4833333333333334
