,range,count,Frequency1
0,"(0, 60]",362,6.033333333333333
1,"(60, 120]",1048,17.466666666666665
2,"(120, 180]",2925,48.75
3,"(180, 240]",1801,30.016666666666666
4,"(240, 300]",684,11.4
5,"(300, 360]",727,12.116666666666667
6,"(360, 420]",1334,22.233333333333334
7,"(420, 480]",1851,30.85
8,"(480, 540]",851,14.183333333333334
9,"(540, 600]",396,6.6
10,"(600, 660]",537,8.95
11,"(660, 720]",631,10.516666666666667
12,"(720, 780]",520,8.666666666666666
13,"(780, 840]",1045,17.416666666666668
14,"(840, 900]",325,5.416666666666667
15,"(900, 960]",275,4.583333333333333
16,"(960, 1020]",1042,17.366666666666667
17,"(1020, 1080]",2056,34.266666666666666
18,"(1080, 1140]",1197,19.95
19,"(1140, 1200]",1023,17.05
20,"(1200, 1260]",339,5.65
21,"(1260, 1320]",475,7.916666666666667
22,"(1320, 1380]",1076,17.933333333333334
23,"(1380, 1440]",606,10.1
24,"(1440, 1500]",1237,20.616666666666667
25,"(1500, 1560]",1194,19.9
26,"(1560, 1620]",636,10.6
27,"(1620, 1680]",759,12.65
28,"(1680, 1740]",468,7.8
29,"(1740, 1800]",576,9.6
30,"(1800, 1860]",259,4.316666666666666
31,"(1860, 1920]",627,10.45
32,"(1920, 1980]",915,15.25
33,"(1980, 2040]",442,7.366666666666666
34,"(2040, 2100]",71,1.1833333333333333
35,"(2100, 2160]",802,13.366666666666667
36,"(2160, 2220]",420,7.0
37,"(2220, 2280]",925,15.416666666666666
38,"(2280, 2340]",395,6.583333333333333
39,"(2340, 2400]",321,5.35
40,"(2400, 2460]",624,10.4
41,"(2460, 2520]",0,0.0
42,"(2520, 2580]",535,8.916666666666666
43,"(2580, 2640]",506,8.433333333333334
44,"(2640, 2700]",878,14.633333333333333
45,"(2700, 2760]",608,10.133333333333333
46,"(2760, 2820]",1510,25.166666666666668
47,"(2820, 2880]",491,8.183333333333334
48,"(2880, 2940]",445,7.416666666666667
49,"(2940, 3000]",810,13.5
50,"(3000, 3060]",353,5.883333333333334
51,"(3060, 3120]",1604,26.733333333333334
52,"(3120, 3180]",1446,24.1
53,"(3180, 3240]",989,16.483333333333334
54,"(3240, 3300]",416,6.933333333333334
55,"(3300, 3360]",532,8.866666666666667
56,"(3360, 3420]",189,3.15
57,"(3420, 3480]",713,11.883333333333333
58,"(3480, 3540]",986,16.433333333333334
59,"(3540, 3600]",836,13.933333333333334
60,"(3600, 3660]",411,6.85
61,"(3660, 3720]",1438,23.966666666666665
62,"(3720, 3780]",2463,41.05
63,"(3780, 3840]",275,4.583333333333333
64,"(3840, 3900]",873,14.55
65,"(3900, 3960]",124,2.066666666666667
66,"(3960, 4020]",12,0.2
67,"(4020, 4080]",130,2.1666666666666665
68,"(4080, 4140]",1224,20.4
69,"(4140, 4200]",316,5.266666666666667
70,"(4200, 4260]",1444,24.066666666666666
71,"(4260, 4320]",1253,20.883333333333333
72,"(4320, 4380]",26,0.43333333333333335
73,"(4380, 4440]",73,1.2166666666666666
74,"(4440, 4500]",615,10.25
75,"(4500, 4560]",362,6.033333333333333
76,"(4560, 4620]",1416,23.6
77,"(4620, 4680]",913,15.216666666666667
78,"(4680, 4740]",0,0.0
79,"(4740, 4800]",254,4.233333333333333
80,"(4800, 4860]",0,0.0
81,"(4860, 4920]",77,1.2833333333333334
82,"(4920, 4980]",0,0.0
83,"(4980, 5040]",32,0.5333333333333333
84,"(5040, 5100]",59,0.9833333333333333
85,"(5100, 5160]",2,0.03333333333333333
86,"(5160, 5220]",962,16.033333333333335
87,"(5220, 5280]",473,7.883333333333334
88,"(5280, 5340]",32,0.5333333333333333
89,"(5340, 5400]",0,0.0
90,"(5400, 5460]",64,1.0666666666666667
91,"(5460, 5520]",147,2.45
92,"(5520, 5580]",0,0.0
93,"(5580, 5640]",92,1.5333333333333334
94,"(5640, 5700]",396,6.6
95,"(5700, 5760]",551,9.183333333333334
96,"(5760, 5820]",62,1.0333333333333334
97,"(5820, 5880]",76,1.2666666666666666
