,range2,count2,Frequency2
0,"(0, 60]",898,14.966666666666667
1,"(60, 120]",709,11.816666666666666
2,"(120, 180]",1055,17.583333333333332
3,"(180, 240]",227,3.783333333333333
4,"(240, 300]",740,12.333333333333334
5,"(300, 360]",468,7.8
6,"(360, 420]",626,10.433333333333334
7,"(420, 480]",647,10.783333333333333
8,"(480, 540]",890,14.833333333333334
9,"(540, 600]",1034,17.233333333333334
10,"(600, 660]",828,13.8
11,"(660, 720]",1110,18.5
12,"(720, 780]",888,14.8
13,"(780, 840]",461,7.683333333333334
14,"(840, 900]",644,10.733333333333333
15,"(900, 960]",608,10.133333333333333
16,"(960, 1020]",586,9.766666666666667
17,"(1020, 1080]",303,5.05
18,"(1080, 1140]",632,10.533333333333333
19,"(1140, 1200]",785,13.083333333333334
20,"(1200, 1260]",646,10.766666666666667
21,"(1260, 1320]",131,2.183333333333333
22,"(1320, 1380]",625,10.416666666666666
23,"(1380, 1440]",192,3.2
24,"(1440, 1500]",504,8.4
25,"(1500, 1560]",523,8.716666666666667
26,"(1560, 1620]",485,8.083333333333334
27,"(1620, 1680]",373,6.216666666666667
28,"(1680, 1740]",222,3.7
29,"(1740, 1800]",691,11.516666666666667
30,"(1800, 1860]",210,3.5
31,"(1860, 1920]",195,3.25
32,"(1920, 1980]",696,11.6
33,"(1980, 2040]",542,9.033333333333333
34,"(2040, 2100]",22,0.36666666666666664
35,"(2100, 2160]",13,0.21666666666666667
36,"(2160, 2220]",415,6.916666666666667
37,"(2220, 2280]",154,2.566666666666667
38,"(2280, 2340]",171,2.85
39,"(2340, 2400]",0,0.0
40,"(2400, 2460]",65,1.0833333333333333
41,"(2460, 2520]",0,0.0
42,"(2520, 2580]",21,0.35
43,"(2580, 2640]",39,0.65
44,"(2640, 2700]",0,0.0
45,"(2700, 2760]",254,4.233333333333333
46,"(2760, 2820]",256,4.266666666666667
47,"(2820, 2880]",362,6.033333333333333
48,"(2880, 2940]",881,14.683333333333334
49,"(2940, 3000]",518,8.633333333333333
50,"(3000, 3060]",898,14.966666666666667
51,"(3060, 3120]",906,15.1
52,"(3120, 3180]",703,11.716666666666667
53,"(3180, 3240]",644,10.733333333333333
54,"(3240, 3300]",459,7.65
55,"(3300, 3360]",596,9.933333333333334
56,"(3360, 3420]",698,11.633333333333333
57,"(3420, 3480]",283,4.716666666666667
58,"(3480, 3540]",486,8.1
59,"(3540, 3600]",794,13.233333333333333
60,"(3600, 3660]",1270,21.166666666666668
61,"(3660, 3720]",426,7.1
62,"(3720, 3780]",444,7.4
63,"(3780, 3840]",889,14.816666666666666
64,"(3840, 3900]",1020,17.0
65,"(3900, 3960]",419,6.983333333333333
66,"(3960, 4020]",822,13.7
67,"(4020, 4080]",575,9.583333333333334
68,"(4080, 4140]",655,10.916666666666666
69,"(4140, 4200]",1247,20.783333333333335
70,"(4200, 4260]",724,12.066666666666666
71,"(4260, 4320]",714,11.9
72,"(4320, 4380]",1015,16.916666666666668
73,"(4380, 4440]",272,4.533333333333333
74,"(4440, 4500]",354,5.9
75,"(4500, 4560]",754,12.566666666666666
76,"(4560, 4620]",504,8.4
77,"(4620, 4680]",87,1.45
78,"(4680, 4740]",360,6.0
79,"(4740, 4800]",90,1.5
80,"(4800, 4860]",304,5.066666666666666
81,"(4860, 4920]",695,11.583333333333334
82,"(4920, 4980]",258,4.3
83,"(4980, 5040]",552,9.2
84,"(5040, 5100]",1079,17.983333333333334
85,"(5100, 5160]",1230,20.5
86,"(5160, 5220]",966,16.1
87,"(5220, 5280]",863,14.383333333333333
88,"(5280, 5340]",363,6.05
89,"(5340, 5400]",11,0.18333333333333332
90,"(5400, 5460]",2,0.03333333333333333
91,"(5460, 5520]",27,0.45
92,"(5520, 5580]",22,0.36666666666666664
93,"(5580, 5640]",417,6.95
94,"(5640, 5700]",420,7.0
95,"(5700, 5760]",2,0.03333333333333333
96,"(5760, 5820]",9,0.15
97,"(5820, 5880]",3,0.05
98,"(5880, 5940]",114,1.9
99,"(5940, 6000]",662,11.033333333333333
100,"(6000, 6060]",347,5.783333333333333
101,"(6060, 6120]",341,5.683333333333334
102,"(6120, 6180]",690,11.5
103,"(6180, 6240]",273,4.55
104,"(6240, 6300]",11,0.18333333333333332
105,"(6300, 6360]",0,0.0
106,"(6360, 6420]",59,0.9833333333333333
107,"(6420, 6480]",108,1.8
108,"(6480, 6540]",16,0.26666666666666666
109,"(6540, 6600]",0,0.0
110,"(6600, 6660]",0,0.0
111,"(6660, 6720]",34,0.5666666666666667
112,"(6720, 6780]",0,0.0
113,"(6780, 6840]",788,13.133333333333333
114,"(6840, 6900]",1353,22.55
115,"(6900, 6960]",768,12.8
116,"(6960, 7020]",274,4.566666666666666
117,"(7020, 7080]",387,6.45
118,"(7080, 7140]",147,2.45
119,"(7140, 7200]",252,4.2
120,"(7200, 7260]",22,0.36666666666666664
121,"(7260, 7320]",374,6.233333333333333
122,"(7320, 7380]",113,1.8833333333333333
123,"(7380, 7440]",964,16.066666666666666
124,"(7440, 7500]",1091,18.183333333333334
125,"(7500, 7560]",920,15.333333333333334
126,"(7560, 7620]",444,7.4
127,"(7620, 7680]",480,8.0
128,"(7680, 7740]",824,13.733333333333333
129,"(7740, 7800]",988,16.466666666666665
130,"(7800, 7860]",250,4.166666666666667
131,"(7860, 7920]",253,4.216666666666667
132,"(7920, 7980]",894,14.9
133,"(7980, 8040]",871,14.516666666666667
134,"(8040, 8100]",559,9.316666666666666
135,"(8100, 8160]",444,7.4
136,"(8160, 8220]",577,9.616666666666667
137,"(8220, 8280]",436,7.266666666666667
138,"(8280, 8340]",714,11.9
139,"(8340, 8400]",815,13.583333333333334
140,"(8400, 8460]",416,6.933333333333334
141,"(8460, 8520]",1265,21.083333333333332
142,"(8520, 8580]",875,14.583333333333334
143,"(8580, 8640]",626,10.433333333333334
144,"(8640, 8700]",887,14.783333333333333
145,"(8700, 8760]",742,12.366666666666667
146,"(8760, 8820]",283,4.716666666666667
147,"(8820, 8880]",436,7.266666666666667
148,"(8880, 8940]",102,1.7
149,"(8940, 9000]",33,0.55
150,"(9000, 9060]",460,7.666666666666667
151,"(9060, 9120]",513,8.55
152,"(9120, 9180]",462,7.7
153,"(9180, 9240]",870,14.5
154,"(9240, 9300]",29,0.48333333333333334
155,"(9300, 9360]",0,0.0
156,"(9360, 9420]",0,0.0
157,"(9420, 9480]",0,0.0
158,"(9480, 9540]",7,0.11666666666666667
159,"(9540, 9600]",0,0.0
160,"(9600, 9660]",2,0.03333333333333333
161,"(9660, 9720]",613,10.216666666666667
162,"(9720, 9780]",470,7.833333333333333
163,"(9780, 9840]",859,14.316666666666666
164,"(9840, 9900]",591,9.85
165,"(9900, 9960]",999,16.65
166,"(9960, 10020]",714,11.9
167,"(10020, 10080]",465,7.75
168,"(10080, 10140]",272,4.533333333333333
169,"(10140, 10200]",653,10.883333333333333
170,"(10200, 10260]",905,15.083333333333334
171,"(10260, 10320]",756,12.6
172,"(10320, 10380]",876,14.6
173,"(10380, 10440]",914,15.233333333333333
174,"(10440, 10500]",821,13.683333333333334
175,"(10500, 10560]",472,7.866666666666666
176,"(10560, 10620]",402,6.7
177,"(10620, 10680]",412,6.866666666666666
178,"(10680, 10740]",550,9.166666666666666
179,"(10740, 10800]",509,8.483333333333333
180,"(10800, 10860]",647,10.783333333333333
181,"(10860, 10920]",711,11.85
182,"(10920, 10980]",666,11.1
183,"(10980, 11040]",542,9.033333333333333
184,"(11040, 11100]",586,9.766666666666667
185,"(11100, 11160]",711,11.85
186,"(11160, 11220]",616,10.266666666666667
187,"(11220, 11280]",802,13.366666666666667
188,"(11280, 11340]",686,11.433333333333334
189,"(11340, 11400]",694,11.566666666666666
190,"(11400, 11460]",798,13.3
191,"(11460, 11520]",368,6.133333333333334
192,"(11520, 11580]",189,3.15
193,"(11580, 11640]",658,10.966666666666667
194,"(11640, 11700]",792,13.2
195,"(11700, 11760]",463,7.716666666666667
196,"(11760, 11820]",898,14.966666666666667
197,"(11820, 11880]",863,14.383333333333333
198,"(11880, 11940]",547,9.116666666666667
199,"(11940, 12000]",701,11.683333333333334
200,"(12000, 12060]",942,15.7
201,"(12060, 12120]",492,8.2
202,"(12120, 12180]",1377,22.95
203,"(12180, 12240]",1036,17.266666666666666
204,"(12240, 12300]",139,2.316666666666667
205,"(12300, 12360]",837,13.95
206,"(12360, 12420]",1265,21.083333333333332
207,"(12420, 12480]",878,14.633333333333333
208,"(12480, 12540]",608,10.133333333333333
209,"(12540, 12600]",554,9.233333333333333
210,"(12600, 12660]",696,11.6
211,"(12660, 12720]",670,11.166666666666666
212,"(12720, 12780]",555,9.25
213,"(12780, 12840]",886,14.766666666666667
214,"(12840, 12900]",1137,18.95
215,"(12900, 12960]",504,8.4
216,"(12960, 13020]",508,8.466666666666667
217,"(13020, 13080]",264,4.4
218,"(13080, 13140]",113,1.8833333333333333
219,"(13140, 13200]",251,4.183333333333334
220,"(13200, 13260]",183,3.05
221,"(13260, 13320]",42,0.7
222,"(13320, 13380]",21,0.35
223,"(13380, 13440]",776,12.933333333333334
224,"(13440, 13500]",418,6.966666666666667
225,"(13500, 13560]",86,1.4333333333333333
226,"(13560, 13620]",85,1.4166666666666667
227,"(13620, 13680]",348,5.8
228,"(13680, 13740]",435,7.25
229,"(13740, 13800]",662,11.033333333333333
230,"(13800, 13860]",19,0.31666666666666665
231,"(13860, 13920]",42,0.7
232,"(13920, 13980]",17,0.2833333333333333
233,"(13980, 14040]",549,9.15
234,"(14040, 14100]",886,14.766666666666667
235,"(14100, 14160]",706,11.766666666666667
236,"(14160, 14220]",925,15.416666666666666
237,"(14220, 14280]",1044,17.4
238,"(14280, 14340]",259,4.316666666666666
239,"(14340, 14400]",590,9.833333333333334
240,"(14400, 14460]",937,15.616666666666667
241,"(14460, 14520]",24,0.4
242,"(14520, 14580]",445,7.416666666666667
243,"(14580, 14640]",938,15.633333333333333
244,"(14640, 14700]",231,3.85
245,"(14700, 14760]",527,8.783333333333333
246,"(14760, 14820]",5,0.08333333333333333
247,"(14820, 14880]",561,9.35
248,"(14880, 14940]",708,11.8
249,"(14940, 15000]",413,6.883333333333334
250,"(15000, 15060]",1272,21.2
251,"(15060, 15120]",1123,18.716666666666665
252,"(15120, 15180]",1129,18.816666666666666
253,"(15180, 15240]",458,7.633333333333334
254,"(15240, 15300]",3,0.05
255,"(15300, 15360]",0,0.0
256,"(15360, 15420]",373,6.216666666666667
257,"(15420, 15480]",698,11.633333333333333
258,"(15480, 15540]",596,9.933333333333334
259,"(15540, 15600]",1030,17.166666666666668
260,"(15600, 15660]",515,8.583333333333334
261,"(15660, 15720]",724,12.066666666666666
262,"(15720, 15780]",982,16.366666666666667
263,"(15780, 15840]",1154,19.233333333333334
264,"(15840, 15900]",178,2.966666666666667
265,"(15900, 15960]",70,1.1666666666666667
266,"(15960, 16020]",613,10.216666666666667
267,"(16020, 16080]",552,9.2
268,"(16080, 16140]",550,9.166666666666666
269,"(16140, 16200]",312,5.2
270,"(16200, 16260]",305,5.083333333333333
271,"(16260, 16320]",388,6.466666666666667
272,"(16320, 16380]",190,3.1666666666666665
273,"(16380, 16440]",1123,18.716666666666665
274,"(16440, 16500]",1380,23.0
275,"(16500, 16560]",482,8.033333333333333
276,"(16560, 16620]",498,8.3
277,"(16620, 16680]",380,6.333333333333333
278,"(16680, 16740]",857,14.283333333333333
279,"(16740, 16800]",553,9.216666666666667
280,"(16800, 16860]",688,11.466666666666667
281,"(16860, 16920]",445,7.416666666666667
282,"(16920, 16980]",785,13.083333333333334
283,"(16980, 17040]",1257,20.95
284,"(17040, 17100]",726,12.1
285,"(17100, 17160]",689,11.483333333333333
286,"(17160, 17220]",852,14.2
287,"(17220, 17280]",1524,25.4
288,"(17280, 17340]",793,13.216666666666667
289,"(17340, 17400]",843,14.05
290,"(17400, 17460]",730,12.166666666666666
291,"(17460, 17520]",511,8.516666666666667
292,"(17520, 17580]",935,15.583333333333334
293,"(17580, 17640]",908,15.133333333333333
294,"(17640, 17700]",1342,22.366666666666667
295,"(17700, 17760]",120,2.0
296,"(17760, 17820]",377,6.283333333333333
297,"(17820, 17880]",3,0.05
298,"(17880, 17940]",927,15.45
299,"(17940, 18000]",1154,19.233333333333334
300,"(18000, 18060]",457,7.616666666666666
301,"(18060, 18120]",687,11.45
302,"(18120, 18180]",899,14.983333333333333
303,"(18180, 18240]",807,13.45
304,"(18240, 18300]",1146,19.1
305,"(18300, 18360]",788,13.133333333333333
306,"(18360, 18420]",738,12.3
307,"(18420, 18480]",589,9.816666666666666
308,"(18480, 18540]",1044,17.4
309,"(18540, 18600]",1157,19.283333333333335
310,"(18600, 18660]",368,6.133333333333334
311,"(18660, 18720]",105,1.75
312,"(18720, 18780]",1486,24.766666666666666
313,"(18780, 18840]",914,15.233333333333333
314,"(18840, 18900]",196,3.2666666666666666
315,"(18900, 18960]",416,6.933333333333334
316,"(18960, 19020]",523,8.716666666666667
317,"(19020, 19080]",121,2.0166666666666666
318,"(19080, 19140]",483,8.05
319,"(19140, 19200]",1060,17.666666666666668
320,"(19200, 19260]",930,15.5
321,"(19260, 19320]",1350,22.5
322,"(19320, 19380]",1648,27.466666666666665
323,"(19380, 19440]",646,10.766666666666667
324,"(19440, 19500]",521,8.683333333333334
325,"(19500, 19560]",882,14.7
326,"(19560, 19620]",871,14.516666666666667
327,"(19620, 19680]",931,15.516666666666667
328,"(19680, 19740]",817,13.616666666666667
329,"(19740, 19800]",706,11.766666666666667
330,"(19800, 19860]",362,6.033333333333333
331,"(19860, 19920]",345,5.75
332,"(19920, 19980]",679,11.316666666666666
333,"(19980, 20040]",366,6.1
334,"(20040, 20100]",684,11.4
335,"(20100, 20160]",1028,17.133333333333333
336,"(20160, 20220]",1212,20.2
337,"(20220, 20280]",679,11.316666666666666
338,"(20280, 20340]",741,12.35
339,"(20340, 20400]",667,11.116666666666667
340,"(20400, 20460]",1011,16.85
341,"(20460, 20520]",811,13.516666666666667
342,"(20520, 20580]",322,5.366666666666666
343,"(20580, 20640]",1081,18.016666666666666
344,"(20640, 20700]",806,13.433333333333334
345,"(20700, 20760]",1214,20.233333333333334
346,"(20760, 20820]",1556,25.933333333333334
347,"(20820, 20880]",527,8.783333333333333
348,"(20880, 20940]",1052,17.533333333333335
349,"(20940, 21000]",265,4.416666666666667
