,range2,count2,Frequency2
0,"(0, 60]",16,0.26666666666666666
1,"(60, 120]",8,0.13333333333333333
2,"(120, 180]",4,0.06666666666666667
3,"(180, 240]",195,3.25
4,"(240, 300]",0,0.0
5,"(300, 360]",128,2.1333333333333333
6,"(360, 420]",4,0.06666666666666667
7,"(420, 480]",1,0.016666666666666666
8,"(480, 540]",2,0.03333333333333333
9,"(540, 600]",91,1.5166666666666666
10,"(600, 660]",2,0.03333333333333333
11,"(660, 720]",18,0.3
12,"(720, 780]",5,0.08333333333333333
13,"(780, 840]",2,0.03333333333333333
14,"(840, 900]",24,0.4
15,"(900, 960]",441,7.35
16,"(960, 1020]",21,0.35
17,"(1020, 1080]",1,0.016666666666666666
18,"(1080, 1140]",0,0.0
19,"(1140, 1200]",2,0.03333333333333333
20,"(1200, 1260]",344,5.733333333333333
21,"(1260, 1320]",13,0.21666666666666667
22,"(1320, 1380]",224,3.7333333333333334
23,"(1380, 1440]",2,0.03333333333333333
24,"(1440, 1500]",4,0.06666666666666667
25,"(1500, 1560]",2,0.03333333333333333
26,"(1560, 1620]",1,0.016666666666666666
27,"(1620, 1680]",0,0.0
28,"(1680, 1740]",24,0.4
29,"(1740, 1800]",0,0.0
30,"(1800, 1860]",51,0.85
31,"(1860, 1920]",414,6.9
32,"(1920, 1980]",328,5.466666666666667
33,"(1980, 2040]",18,0.3
34,"(2040, 2100]",13,0.21666666666666667
35,"(2100, 2160]",64,1.0666666666666667
36,"(2160, 2220]",172,2.8666666666666667
37,"(2220, 2280]",76,1.2666666666666666
38,"(2280, 2340]",0,0.0
39,"(2340, 2400]",83,1.3833333333333333
40,"(2400, 2460]",262,4.366666666666666
41,"(2460, 2520]",0,0.0
42,"(2520, 2580]",0,0.0
43,"(2580, 2640]",12,0.2
44,"(2640, 2700]",32,0.5333333333333333
45,"(2700, 2760]",8,0.13333333333333333
46,"(2760, 2820]",206,3.433333333333333
47,"(2820, 2880]",25,0.4166666666666667
48,"(2880, 2940]",2,0.03333333333333333
49,"(2940, 3000]",0,0.0
50,"(3000, 3060]",54,0.9
51,"(3060, 3120]",51,0.85
52,"(3120, 3180]",34,0.5666666666666667
53,"(3180, 3240]",9,0.15
54,"(3240, 3300]",622,10.366666666666667
55,"(3300, 3360]",51,0.85
56,"(3360, 3420]",2,0.03333333333333333
57,"(3420, 3480]",25,0.4166666666666667
58,"(3480, 3540]",161,2.683333333333333
59,"(3540, 3600]",88,1.4666666666666666
60,"(3600, 3660]",22,0.36666666666666664
61,"(3660, 3720]",107,1.7833333333333334
62,"(3720, 3780]",90,1.5
63,"(3780, 3840]",377,6.283333333333333
64,"(3840, 3900]",4,0.06666666666666667
65,"(3900, 3960]",108,1.8
66,"(3960, 4020]",1135,18.916666666666668
67,"(4020, 4080]",540,9.0
68,"(4080, 4140]",147,2.45
69,"(4140, 4200]",1,0.016666666666666666
70,"(4200, 4260]",114,1.9
71,"(4260, 4320]",663,11.05
72,"(4320, 4380]",498,8.3
73,"(4380, 4440]",5,0.08333333333333333
74,"(4440, 4500]",4,0.06666666666666667
75,"(4500, 4560]",937,15.616666666666667
76,"(4560, 4620]",1335,22.25
77,"(4620, 4680]",966,16.1
78,"(4680, 4740]",924,15.4
79,"(4740, 4800]",979,16.316666666666666
80,"(4800, 4860]",111,1.85
81,"(4860, 4920]",334,5.566666666666666
82,"(4920, 4980]",316,5.266666666666667
83,"(4980, 5040]",258,4.3
84,"(5040, 5100]",13,0.21666666666666667
85,"(5100, 5160]",68,1.1333333333333333
86,"(5160, 5220]",4,0.06666666666666667
87,"(5220, 5280]",0,0.0
88,"(5280, 5340]",40,0.6666666666666666
89,"(5340, 5400]",43,0.7166666666666667
90,"(5400, 5460]",68,1.1333333333333333
91,"(5460, 5520]",101,1.6833333333333333
92,"(5520, 5580]",11,0.18333333333333332
93,"(5580, 5640]",43,0.7166666666666667
94,"(5640, 5700]",17,0.2833333333333333
95,"(5700, 5760]",138,2.3
96,"(5760, 5820]",41,0.6833333333333333
