,range2,count2,Frequency2
0,"(0, 60]",752,12.533333333333333
1,"(60, 120]",783,13.05
2,"(120, 180]",693,11.55
3,"(180, 240]",1227,20.45
4,"(240, 300]",732,12.2
5,"(300, 360]",349,5.816666666666666
6,"(360, 420]",266,4.433333333333334
7,"(420, 480]",814,13.566666666666666
8,"(480, 540]",580,9.666666666666666
9,"(540, 600]",427,7.116666666666666
10,"(600, 660]",616,10.266666666666667
11,"(660, 720]",296,4.933333333333334
12,"(720, 780]",107,1.7833333333333334
13,"(780, 840]",135,2.25
14,"(840, 900]",284,4.733333333333333
15,"(900, 960]",1203,20.05
16,"(960, 1020]",778,12.966666666666667
17,"(1020, 1080]",154,2.566666666666667
18,"(1080, 1140]",635,10.583333333333334
19,"(1140, 1200]",240,4.0
20,"(1200, 1260]",479,7.983333333333333
21,"(1260, 1320]",187,3.1166666666666667
22,"(1320, 1380]",126,2.1
23,"(1380, 1440]",689,11.483333333333333
24,"(1440, 1500]",631,10.516666666666667
25,"(1500, 1560]",29,0.48333333333333334
26,"(1560, 1620]",6,0.1
27,"(1620, 1680]",1010,16.833333333333332
28,"(1680, 1740]",486,8.1
29,"(1740, 1800]",219,3.65
30,"(1800, 1860]",360,6.0
31,"(1860, 1920]",617,10.283333333333333
32,"(1920, 1980]",586,9.766666666666667
33,"(1980, 2040]",167,2.783333333333333
34,"(2040, 2100]",540,9.0
35,"(2100, 2160]",851,14.183333333333334
36,"(2160, 2220]",846,14.1
37,"(2220, 2280]",50,0.8333333333333334
38,"(2280, 2340]",18,0.3
39,"(2340, 2400]",39,0.65
40,"(2400, 2460]",0,0.0
41,"(2460, 2520]",596,9.933333333333334
42,"(2520, 2580]",1090,18.166666666666668
43,"(2580, 2640]",84,1.4
44,"(2640, 2700]",66,1.1
45,"(2700, 2760]",479,7.983333333333333
46,"(2760, 2820]",238,3.966666666666667
47,"(2820, 2880]",61,1.0166666666666666
48,"(2880, 2940]",54,0.9
49,"(2940, 3000]",136,2.2666666666666666
50,"(3000, 3060]",154,2.566666666666667
51,"(3060, 3120]",581,9.683333333333334
52,"(3120, 3180]",88,1.4666666666666666
53,"(3180, 3240]",540,9.0
54,"(3240, 3300]",1127,18.783333333333335
55,"(3300, 3360]",950,15.833333333333334
56,"(3360, 3420]",690,11.5
57,"(3420, 3480]",452,7.533333333333333
58,"(3480, 3540]",744,12.4
59,"(3540, 3600]",123,2.05
60,"(3600, 3660]",630,10.5
61,"(3660, 3720]",376,6.266666666666667
62,"(3720, 3780]",519,8.65
63,"(3780, 3840]",450,7.5
64,"(3840, 3900]",571,9.516666666666667
65,"(3900, 3960]",1268,21.133333333333333
66,"(3960, 4020]",898,14.966666666666667
67,"(4020, 4080]",607,10.116666666666667
68,"(4080, 4140]",1127,18.783333333333335
69,"(4140, 4200]",5,0.08333333333333333
70,"(4200, 4260]",98,1.6333333333333333
71,"(4260, 4320]",133,2.216666666666667
72,"(4320, 4380]",143,2.3833333333333333
73,"(4380, 4440]",50,0.8333333333333334
74,"(4440, 4500]",377,6.283333333333333
75,"(4500, 4560]",774,12.9
76,"(4560, 4620]",384,6.4
77,"(4620, 4680]",680,11.333333333333334
78,"(4680, 4740]",816,13.6
79,"(4740, 4800]",756,12.6
80,"(4800, 4860]",583,9.716666666666667
81,"(4860, 4920]",272,4.533333333333333
82,"(4920, 4980]",307,5.116666666666666
83,"(4980, 5040]",141,2.35
84,"(5040, 5100]",12,0.2
85,"(5100, 5160]",85,1.4166666666666667
86,"(5160, 5220]",407,6.783333333333333
87,"(5220, 5280]",261,4.35
88,"(5280, 5340]",124,2.066666666666667
89,"(5340, 5400]",511,8.516666666666667
90,"(5400, 5460]",774,12.9
91,"(5460, 5520]",89,1.4833333333333334
92,"(5520, 5580]",218,3.6333333333333333
93,"(5580, 5640]",101,1.6833333333333333
94,"(5640, 5700]",45,0.75
95,"(5700, 5760]",56,0.9333333333333333
96,"(5760, 5820]",18,0.3
97,"(5820, 5880]",27,0.45
98,"(5880, 5940]",81,1.35
99,"(5940, 6000]",293,4.883333333333334
100,"(6000, 6060]",253,4.216666666666667
101,"(6060, 6120]",406,6.766666666666667
102,"(6120, 6180]",896,14.933333333333334
103,"(6180, 6240]",664,11.066666666666666
104,"(6240, 6300]",2350,39.166666666666664
105,"(6300, 6360]",2147,35.78333333333333
106,"(6360, 6420]",3049,50.81666666666667
107,"(6420, 6480]",2575,42.916666666666664
108,"(6480, 6540]",3058,50.96666666666667
109,"(6540, 6600]",710,11.833333333333334
110,"(6600, 6660]",958,15.966666666666667
111,"(6660, 6720]",1116,18.6
112,"(6720, 6780]",679,11.316666666666666
