,ISI1
1,
3,0.3684
5,0.21799999999999997
0,0.07240000000000002
2,0.5339999999999999
4,0.6082000000000001
6,0.903
8,0.4152
10,0.04519999999999991
12,1.5303999999999998
14,0.8205999999999998
7,0.027000000000000135
9,0.05600000000000094
16,0.030799999999999272
18,0.016799999999999926
20,0.021600000000000286
22,0.10779999999999923
24,1.6766000000000005
26,0.031000000000000583
11,0.04019999999999957
28,0.02200000000000024
30,0.025399999999999423
13,0.02880000000000127
15,0.06699999999999928
17,0.04859999999999953
32,0.04320000000000057
34,0.04479999999999951
36,0.033800000000000274
38,0.03939999999999966
40,0.034600000000000186
19,0.02800000000000047
42,0.02919999999999945
44,0.03420000000000023
21,0.02260000000000062
46,0.029799999999999827
48,0.02880000000000038
50,0.032399999999999096
52,0.057800000000000296
54,0.04379999999999917
56,0.03980000000000139
58,0.04399999999999871
23,0.1394000000000002
25,0.022199999999999775
27,0.023200000000000998
29,0.06539999999999857
31,0.04040000000000177
60,1.3001999999999985
62,1.0294000000000008
64,0.05799999999999983
66,0.04640000000000022
68,0.039400000000000546
70,0.4087999999999994
72,0.05000000000000071
74,0.05999999999999872
76,0.06380000000000052
78,0.05739999999999945
80,0.8932000000000002
82,2.6373999999999995
84,0.059200000000000585
86,0.047399999999999665
88,0.10880000000000045
90,0.04800000000000004
92,0.3338000000000001
94,0.04219999999999935
96,0.06460000000000043
33,0.1814
35,0.055399999999998784
98,0.036599999999999966
37,0.052000000000003155
100,0.0227999999999966
39,0.03260000000000218
102,0.1603999999999992
104,0.05819999999999936
106,1.1578000000000017
108,0.028600000000000847
110,0.07539999999999836
112,0.04439999999999955
114,0.02960000000000207
116,0.031399999999997874
118,0.028400000000001313
120,0.035599999999998744
122,0.0367999999999995
124,0.028000000000002245
126,0.04139999999999944
128,0.02779999999999916
130,0.028600000000000847
132,0.015000000000000568
134,0.03179999999999694
136,0.013800000000003365
138,0.026199999999999335
140,0.022800000000000153
142,0.031399999999997874
144,0.015000000000000568
146,0.2726000000000006
148,0.3191999999999986
41,0.20720000000000027
150,0.06520000000000081
152,0.04100000000000037
154,0.053000000000000824
156,0.17479999999999762
158,0.07319999999999993
160,4.806600000000003
162,0.19879999999999853
164,0.11739999999999995
166,0.14999999999999858
168,0.0671999999999997
170,0.5408000000000008
172,0.2524000000000015
174,0.3182000000000009
176,0.05139999999999745
178,0.09380000000000166
180,0.06099999999999994
182,0.08259999999999934
43,0.09740000000000038
45,0.07019999999999982
47,1.9893999999999998
184,0.1053999999999995
186,0.02960000000000207
188,0.05559999999999832
49,0.04720000000000013
190,0.24439999999999884
192,0.3548000000000009
194,0.06899999999999906
196,1.4714000000000027
198,0.04999999999999716
200,0.6518000000000015
202,0.04420000000000002
204,0.06299999999999883
206,0.07000000000000028
208,0.441399999999998
210,0.4528000000000034
51,0.30059999999999576
212,2.1007999999999996
214,0.051800000000007174
216,0.020199999999995555
53,0.03820000000000334
55,0.03499999999999659
218,0.49500000000000455
57,0.0811999999999955
59,0.033200000000000784
220,0.10520000000000351
222,0.15739999999999554
224,0.4896000000000029
226,0.6047999999999973
61,0.05180000000000007
228,0.044400000000003104
63,0.05679999999999552
230,0.052199999999999136
232,0.09700000000000131
234,0.07319999999999993
236,0.06860000000000355
65,0.05359999999999587
67,0.038800000000001944
69,0.023400000000002308
71,0.028599999999997294
73,2.183399999999999
238,0.030799999999999272
75,0.04660000000000508
240,0.1973999999999947
242,0.028400000000004866
77,0.03119999999999834
244,0.0227999999999966
79,0.03720000000000567
81,0.03519999999999612
83,0.03439999999999799
246,0.10260000000000247
85,0.039400000000000546
248,0.26899999999999835
87,0.536999999999999
250,0.036599999999999966
252,0.05580000000000496
254,0.06259999999999621
256,0.028200000000005332
258,0.02719999999999345
260,0.03359999999999985
262,0.07500000000000284
264,0.03979999999999961
266,0.02480000000000615
268,0.05619999999999692
270,0.03920000000000101
272,0.0811999999999955
274,0.07220000000000226
276,0.04339999999999833
278,0.039400000000000546
280,0.039400000000000546
282,0.023800000000001376
284,0.046599999999997976
286,0.03520000000000323
288,0.03179999999999694
290,0.02640000000000242
292,0.028599999999997294
294,0.014800000000001035
296,0.03920000000000101
298,0.017800000000001148
300,0.021999999999998465
302,0.0157999999999916
304,0.0204000000000093
306,0.015799999999998704
308,0.014800000000001035
310,0.00999999999999801
312,0.019199999999997885
314,0.013600000000003831
316,0.01559999999999917
318,0.025199999999998113
320,0.011600000000001387
322,0.011600000000001387
324,0.01379999999999626
326,0.013800000000003365
328,0.012999999999998124
330,0.010199999999997544
332,0.014000000000002899
334,0.02300000000000324
336,0.01759999999999451
338,0.02300000000000324
340,0.05120000000000147
342,0.06279999999999575
344,0.041200000000003456
346,0.029199999999995896
348,0.1092000000000013
350,0.05559999999999832
352,0.04840000000000089
354,0.06820000000000448
356,0.02740000000000009
89,0.06279999999999575
358,0.04720000000000368
360,0.05180000000000007
362,0.05819999999999936
364,0.03399999999999892
366,0.036000000000001364
368,0.0227999999999966
370,0.029000000000003467
372,0.04080000000000439
374,0.044399999999996
376,0.027999999999998693
378,0.03999999999999915
380,0.02839999999999776
382,0.04760000000000275
384,0.0379999999999967
386,0.09980000000000189
388,0.062400000000003786
390,0.04579999999999984
392,0.03599999999999426
394,0.04260000000000019
396,0.02680000000000149
398,0.01899999999999835
400,0.027599999999999625
402,0.018200000000000216
404,0.018200000000000216
406,0.08040000000000447
408,0.04999999999999716
410,0.10300000000000153
412,0.08599999999999852
91,0.06700000000000017
414,0.04080000000000439
416,0.10000000000000142
418,0.08039999999999736
420,0.03999999999999915
422,0.020199999999995555
424,0.09539999999999793
93,0.10480000000000445
426,0.03159999999999741
428,0.05300000000000438
430,0.040399999999998215
432,0.06499999999999773
434,0.04920000000000613
436,0.03259999999999508
438,0.049600000000005195
95,0.045199999999994134
440,0.048799999999999955
442,0.03280000000000172
444,0.03100000000000591
446,0.036799999999992394
448,0.03760000000000474
450,0.0373999999999981
452,0.04820000000000135
97,0.11959999999999837
99,0.2283999999999935
454,0.09040000000000958
456,0.11379999999999768
101,0.13539999999999708
458,0.029800000000001603
460,0.039400000000000546
462,0.05279999999999774
