0.031,,0.1222
0.0696,,0.1648
0.0866,,0.2436
0.135,,0.2682
0.1482,,0.368
0.2248,,0.4862
0.2844,,0.5156
0.3022,,0.5948
0.3184,,0.66
0.3856,,0.6956
0.4066,,0.7214
0.4248,,0.8196
0.4366,,0.9128
0.4558,,0.9676
0.501,,0.9786
0.5318,,0.9978
0.55,,1.0184
0.5682,,1.1636
0.5834,,1.2168
0.6734,,1.2284
0.6838,,1.3512
0.7374,,1.3936
0.804,,1.428
0.8384,,1.6818
0.8556,,1.7408
0.8696,,1.7636
0.8874,,1.8634
0.9328,,1.9476
0.9528,,2.0402
1.044,,2.0984
1.085,,2.1218
1.101,,2.1634
1.1862,,2.2324
1.2508,,2.352
1.2654,,2.3694
1.286,,2.5262
1.327,,2.547
1.4088,,2.6092
1.4488,,2.6198
1.4912,,2.6816
1.5418,,2.7056
1.5632,,2.8936
1.5786,,2.9182
1.6954,,2.9462
1.786,,2.9726
1.8056,,3.0302
1.8256,,3.0636
1.8398,,3.0878
1.8834,,3.1204
1.9202,,3.1486
1.9596,,3.1752
1.9824,,3.2476
2.0082,,3.2702
2.078,,3.333
2.1504,,3.3686
2.1878,,3.4028
2.2516,,3.4422
2.2692,,3.4642
2.2824,,3.4892
2.383,,3.5222
2.4176,,3.585
2.4704,,3.634
2.4892,,3.654
2.5056,,3.665
2.5764,,3.697
2.6366,,3.7998
2.6476,,3.8552
2.664,,3.9136
2.7368,,3.9754
2.7706,,4.0156
2.798,,4.0322
2.8436,,4.0568
2.9878,,4.127
3.048,,4.1984
3.0986,,4.3648
3.1886,,4.3974
3.309,,4.4462
3.563,,4.4862
3.6014,,4.604
3.6776,,4.7602
3.7184,,4.9452
3.7294,,5.1778
3.7632,,5.2284
3.8378,,5.2782
3.8686,,5.365
3.9296,,5.4742
3.941,,5.6134
3.958,,5.6782
3.9932,,5.724
4.069,,5.8516
4.083,,5.889
4.0936,,5.92
4.1376,,5.9768
4.1868,,6.0438
4.2172,,6.1354
4.2302,,6.1892
4.293,,6.2338
4.3152,,6.3188
4.3308,,6.3382
4.4666,,6.4196
4.5164,,6.5162
4.5828,,6.6142
4.622,,6.6462
4.6702,,6.8254
4.7312,,6.892
4.7472,,6.93
4.7766,,6.9548
4.7942,,7.0788
4.8446,,7.0982
4.8682,,7.1428
4.917,,7.2334
4.9328,,7.283
4.9704,,7.5482
4.9924,,7.5668
5.0568,,7.614
5.0718,,7.6812
5.0896,,7.702
