,ISI1
1,
3,0.0378
0,0.2068
2,1.127
4,0.7915999999999999
6,4.2188
8,0.2862
10,0.027599999999999625
12,0.16279999999999983
5,17.4562
7,0.09500000000000242
9,0.22619999999999862
11,0.01419999999999888
13,0.04860000000000042
14,0.024800000000002598
15,0.027999999999998693
17,0.010400000000000631
19,0.03900000000000148
21,7.919999999999998
23,0.5204000000000022
25,3.0929999999999964
27,0.021000000000000796
16,0.023800000000001376
29,0.04840000000000089
31,0.025399999999997647
33,0.01559999999999917
18,19.341
20,0.22919999999999874
22,5.697199999999995
24,0.6494000000000071
26,1.0673999999999992
28,0.24499999999999744
30,1.7560000000000073
32,0.2383999999999986
34,0.17980000000000018
36,1.7475999999999914
35,0.7006000000000085
38,0.37519999999999243
40,0.20660000000000878
42,0.4303999999999917
44,0.014000000000010004
46,0.7505999999999915
48,0.24139999999999873
50,0.23100000000000875
52,0.09179999999999211
54,0.10960000000000036
37,2.1504000000000048
39,0.03820000000000334
41,2.7279999999999944
43,0.7129999999999939
45,0.048600000000007526
47,2.601600000000005
49,0.17199999999999704
51,0.1174000000000035
53,0.03819999999998913
55,0.07860000000000866
57,0.09979999999998768
59,0.034000000000006025
61,0.35479999999999734
63,0.05760000000000787
65,0.11359999999999104
67,25.1156
69,0.05480000000000018
71,0.33259999999999934
73,3.9676000000000045
75,0.8825999999999965
77,0.0379999999999967
79,0.11960000000000548
81,0.4351999999999947
83,0.03480000000000416
85,0.03700000000000614
87,0.02579999999998961
89,0.054400000000001114
91,0.07340000000000657
93,0.05580000000000496
95,0.05839999999999179
97,0.4665999999999997
99,0.051400000000001
101,0.7220000000000084
103,0.4959999999999951
105,0.15080000000000382
107,0.12959999999999638
56,9.565400000000011
109,0.7983999999999867
111,0.2925999999999931
58,0.02240000000000464
113,0.30280000000000484
115,0.024399999999999977
117,0.3597999999999928
119,0.020800000000008367
121,0.01999999999999602
123,0.07880000000000109
125,0.06220000000000425
127,0.05519999999999925
129,0.08579999999999188
60,0.23460000000000036
131,0.6116000000000099
133,0.11719999999999686
135,0.04420000000000357
137,0.22179999999998756
139,0.02400000000000091
141,0.045000000000001705
143,0.02960000000000207
62,0.02420000000000755
145,0.028399999999990655
64,0.01480000000000814
66,0.026799999999994384
147,0.03260000000000218
149,0.03200000000001069
151,0.015000000000000568
153,0.019199999999983675
68,0.020800000000008367
155,0.02919999999998879
157,0.038000000000010914
159,0.017800000000008254
161,0.024199999999993338
70,0.015799999999998704
163,0.06419999999999959
165,0.017799999999994043
167,0.010400000000004184
169,0.013399999999990087
171,0.016199999999997772
173,0.015600000000006276
175,0.014200000000002433
177,0.01860000000000639
179,0.01839999999999975
181,0.019599999999996953
72,0.010400000000004184
183,0.029999999999986926
185,0.013600000000010937
187,0.01120000000000232
189,0.011199999999988108
191,0.017200000000002547
193,0.03459999999999752
195,0.014000000000010004
197,0.016199999999997772
199,0.015599999999992065
201,0.016000000000005343
203,0.018000000000000682
205,0.01099999999999568
207,0.02200000000000557
209,0.02020000000000266
211,0.0163999999999902
213,0.019600000000011164
215,0.018000000000000682
217,0.021599999999992292
219,0.018799999999998818
221,0.01860000000000639
223,0.01819999999999311
225,0.022999999999996135
227,0.017000000000010118
229,0.021000000000000796
231,0.01820000000000732
233,0.018999999999991246
235,0.017799999999994043
237,0.019400000000004525
239,0.020799999999994156
241,0.02360000000000184
243,0.01659999999999684
245,0.014000000000010004
247,0.017200000000002547
249,0.01659999999999684
251,0.017799999999994043
253,0.02980000000000871
255,0.017599999999987403
257,0.0204000000000093
259,0.020799999999994156
261,0.02020000000000266
263,0.021199999999993224
265,0.022600000000011278
267,0.018000000000000682
269,0.03439999999999088
271,0.024199999999993338
273,0.02980000000002292
275,0.03259999999997376
277,26.729600000000005
279,0.09700000000000841
281,1.0467999999999904
283,0.03480000000001837
285,0.04540000000000077
287,0.042999999999977945
289,0.041200000000003456
291,0.028799999999989723
293,0.05500000000000682
295,0.058400000000006
297,0.0367999999999995
299,0.11080000000001178
301,0.06319999999999482
303,0.13220000000001164
305,0.029599999999987858
307,0.059599999999988995
309,0.054400000000015325
311,0.04239999999998645
313,0.021000000000015007
315,0.08979999999999677
317,0.025200000000012324
319,0.06839999999999691
321,0.036000000000001364
323,0.039199999999993906
325,0.026399999999995316
327,0.2635999999999967
329,0.08180000000001542
331,0.09439999999997895
333,0.07480000000001041
335,0.021000000000015007
337,0.2751999999999839
339,0.017799999999994043
341,0.13220000000001164
343,0.022599999999982856
345,0.041200000000003456
347,0.0730000000000075
74,0.010400000000004184
349,0.01279999999999859
351,0.01099999999999568
353,0.009999999999990905
355,0.027000000000015234
357,0.031999999999982265
359,0.017800000000022465
361,0.01079999999998904
363,0.019599999999996953
76,0.065400000000011
78,0.11179999999998813
80,0.07660000000001332
365,0.04759999999998854
367,0.022600000000011278
369,0.01099999999999568
371,0.02179999999998472
373,0.030400000000014415
375,0.016999999999995907
377,0.010199999999997544
379,0.01300000000000523
381,0.02179999999998472
383,0.012200000000007094
385,0.01640000000000441
387,0.016799999999989268
389,0.024799999999999045
391,0.06640000000001578
393,0.050399999999996226
395,0.01099999999999568
397,0.01480000000000814
399,0.019000000000005457
401,0.01300000000000523
403,0.0181999999999789
405,0.026600000000001955
407,0.024400000000014188
409,0.012399999999985312
411,0.02020000000001687
413,0.03119999999998413
415,0.017799999999994043
417,0.020000000000010232
419,0.04400000000001114
421,0.0181999999999789
423,0.04740000000001032
425,0.01859999999999218
427,0.05660000000000309
429,0.0438000000000045
431,0.03540000000000987
433,0.03180000000000405
435,0.06779999999997699
437,0.1810000000000116
439,0.015399999999999636
441,0.0397999999999854
443,0.48740000000000805
445,0.04259999999999309
447,0.043200000000013006
449,0.066599999999994
82,0.024599999999992406
451,0.15720000000001733
453,0.026999999999986812
455,0.027000000000015234
457,0.013800000000003365
459,0.016799999999989268
461,0.05099999999998772
463,0.02040000000002351
465,0.018000000000000682
467,0.0759999999999934
469,0.2038000000000011
471,0.015799999999984493
473,0.032200000000017326
475,1.8588000000000022
477,0.05299999999999727
479,0.1303999999999803
481,0.4310000000000116
483,0.3937999999999988
84,0.017599999999987403
485,0.17140000000000555
487,0.050800000000009504
489,0.02019999999998845
491,0.03840000000002419
493,0.03219999999996048
495,0.028600000000039927
497,0.048399999999986676
499,0.26900000000000546
501,0.017400000000009186
503,0.046799999999990405
505,0.1847999999999672
507,0.06380000000001473
509,0.043400000000019645
511,0.014799999999979718
513,0.01700000000002433
515,0.011399999999980537
517,0.022199999999998
519,0.018000000000000682
