,ISI1
1,
3,4.151200000000003
0,0.05619999999999692
2,0.013600000000000279
4,0.013800000000003365
6,0.013199999999997658
5,0.003600000000002268
8,0.012399999999999523
10,0.010199999999997544
7,0.10560000000000258
9,0.014799999999997482
12,0.0020000000000024443
11,0.010399999999997078
14,0.004000000000001336
13,0.007400000000000517
16,0.0031999999999996476
15,0.010999999999999233
18,0.006399999999999295
17,0.007600000000000051
20,0.005000000000002558
19,0.006000000000000227
22,0.0058000000000006935
24,0.011599999999997834
26,0.010799999999999699
21,0.006000000000000227
28,0.004000000000001336
30,0.015200000000000102
23,0.002599999999997493
32,0.008800000000000807
25,0.006800000000001916
34,0.006399999999999295
27,0.011199999999998766
36,0.0010000000000012221
29,0.014800000000001035
38,0.002799999999997027
31,0.007600000000000051
40,0.006600000000002382
33,0.005399999999998073
42,0.004799999999999471
35,0.006599999999998829
44,0.010000000000001563
37,0.002200000000001978
46,0.00859999999999772
39,0.002600000000001046
48,0.009399999999999409
41,0.003600000000002268
50,0.007199999999997431
43,0.004400000000000404
52,0.016600000000000392
45,0.007799999999999585
47,0.02120000000000033
49,0.0254000000000012
51,0.03160000000000096
54,0.0007999999999981355
53,0.04800000000000182
55,0.04720000000000013
56,0.3501999999999974
58,0.7630000000000017
60,0.015999999999998238
62,0.08300000000000196
64,0.013399999999997192
66,2.2668000000000035
68,0.15879999999999939
70,0.011400000000001853
72,0.03819999999999624
57,0.06960000000000122
74,0.06360000000000099
76,0.01740000000000208
78,0.02459999999999951
59,0.022999999999996135
80,0.008000000000002672
82,0.011199999999995214
84,0.011400000000001853
86,0.017600000000001614
61,0.0009999999999976694
88,0.02580000000000382
90,0.015000000000000568
63,0.014399999999994861
92,0.024200000000000443
94,0.014000000000002899
96,0.01559999999999917
98,0.04679999999999751
100,0.5226000000000042
102,0.018000000000000682
104,0.03359999999999985
65,0.05819999999999936
106,0.03920000000000101
67,0.0023999999999944066
108,0.16340000000000288
110,0.01839999999999975
69,25.5238
112,0.6419999999999959
114,0.024399999999999977
116,5.604000000000006
71,0.007199999999997431
118,0.01680000000000348
73,2.522599999999997
75,0.034000000000006025
77,0.0455999999999932
79,0.1302000000000021
81,0.14359999999999218
120,8.840400000000002
83,2.622
85,0.28660000000000707
87,0.12579999999999814
122,14.449799999999996
89,0.16559999999999775
91,0.032200000000003115
93,0.0146000000000015
95,1.306600000000003
97,0.009999999999990905
99,0.2015999999999991
101,0.20540000000001157
103,0.01079999999998904
105,0.07059999999999889
107,0.07720000000000482
124,0.06759999999999877
109,0.002200000000001978
126,0.03279999999999461
111,0.032600000000016394
113,0.05079999999999529
115,0.022199999999998
117,0.024399999999999977
119,0.03139999999999077
128,0.05340000000001055
121,0.0013999999999896318
130,0.036000000000001364
123,0.002600000000001046
125,0.02200000000000557
127,0.015399999999999636
129,0.04739999999999611
131,0.04019999999999868
133,0.017000000000010118
135,0.04459999999998843
137,1.5502000000000038
139,0.057999999999992724
141,0.046800000000004616
143,3.4231999999999942
132,1.0756000000000085
145,0.016199999999997772
134,0.07959999999999923
136,0.015799999999998704
147,0.019600000000011164
149,0.9255999999999887
151,0.03360000000000696
153,0.027000000000001023
155,0.011399999999994748
138,0.015399999999999636
157,0.0036000000000058208
140,0.006799999999998363
159,0.024399999999999977
161,0.011399999999994748
163,0.01680000000000348
165,0.04460000000000264
167,0.2716000000000065
169,0.46539999999998827
171,0.04800000000000182
173,4.592799999999997
142,1.3757999999999981
144,0.03360000000000696
175,0.14979999999999905
146,0.07779999999999632
148,0.028000000000005798
150,0.033799999999999386
152,0.026600000000001955
154,0.09239999999999782
156,0.013599999999996726
158,0.43319999999999936
160,0.012600000000006162
162,0.018000000000000682
164,0.03139999999999077
177,0.11460000000001003
179,2.6855999999999938
181,0.05580000000000496
183,0.015000000000000568
185,0.3247999999999962
187,0.17260000000000275
189,0.36180000000000234
166,0.6465999999999923
168,0.04440000000001021
191,0.09399999999999409
193,0.016199999999997772
195,0.016799999999989268
197,0.010200000000011755
199,0.013199999999997658
201,0.010400000000004184
203,0.023399999999995202
205,0.02779999999999916
207,0.045200000000008345
209,0.3155999999999892
170,0.2668000000000035
172,0.05939999999999657
211,0.004200000000011528
174,0.026599999999987745
213,0.012000000000000455
176,0.01120000000000232
178,0.010199999999997544
215,0.021600000000006503
217,0.028199999999998226
219,0.013199999999997658
221,0.03900000000000148
223,0.8265999999999991
225,0.03360000000000696
227,0.030000000000001137
229,0.013199999999997658
231,0.7205999999999904
180,2.109400000000008
182,0.02200000000000557
184,0.03119999999999834
233,0.14419999999999789
235,0.026399999999995316
237,0.01999999999999602
239,0.01300000000000523
241,0.011399999999994748
243,0.06780000000000541
245,0.03100000000000591
247,0.01839999999999975
249,0.08979999999999677
251,0.024399999999999977
186,4.831800000000001
253,0.20839999999999748
188,0.009599999999991837
190,0.02020000000000266
192,0.021800000000013142
194,0.022199999999998
196,0.021599999999992292
198,0.012000000000000455
200,0.029799999999994498
202,2.5256000000000114
204,0.061199999999985266
206,0.07160000000001787
208,0.09299999999998931
210,0.017200000000002547
255,0.0030000000000143245
212,0.01999999999998181
257,0.012000000000000455
214,0.013200000000011869
216,0.02559999999999718
259,0.015399999999999636
261,0.017799999999994043
263,0.015799999999984493
218,0.0010000000000047748
265,0.018799999999998818
267,0.010199999999997544
220,0.0016000000000246928
269,0.012399999999985312
222,0.004800000000017235
271,0.008600000000001273
224,0.010599999999982401
273,0.0012000000000114142
275,0.011799999999993815
277,0.013599999999996726
279,0.0146000000000015
226,0.012000000000000455
281,0.005599999999986949
228,0.006200000000006867
230,0.011600000000015598
283,0.00919999999999277
285,0.013800000000003365
232,0.01659999999998263
287,0.0010000000000047748
289,0.012200000000007094
291,0.012200000000007094
293,0.012599999999991951
234,0.01120000000000232
295,0.0028000000000076852
297,0.02539999999999054
236,0.008000000000009777
299,0.003199999999992542
301,0.014000000000010004
238,0.007999999999981355
303,0.024600000000020827
305,0.01099999999999568
307,0.013199999999983447
309,0.012600000000020373
311,0.013399999999990087
240,0.0010000000000047748
313,0.016199999999997772
242,0.002600000000001046
315,0.011599999999987176
244,0.0018000000000029104
317,0.010199999999997544
246,0.003199999999992542
319,0.012400000000013733
248,0.0007999999999981355
250,0.01079999999998904
321,0.020600000000001728
323,0.030600000000021055
325,0.06459999999998445
327,0.030200000000007776
329,0.030599999999992633
331,0.04800000000000182
252,0.0033999999999991815
333,0.007399999999989859
254,0.004400000000003956
335,0.01099999999999568
256,0.0010000000000047748
337,0.009000000000014552
258,0.016999999999995907
339,0.0012000000000114142
260,0.011399999999980537
341,0.004400000000003956
262,0.011799999999993815
343,0.0010000000000047748
264,0.012200000000007094
345,0.007000000000005002
266,0.010400000000004184
268,0.011799999999993815
347,0.005599999999986949
270,0.006799999999998363
349,0.0033999999999991815
272,0.021600000000006503
351,0.01500000000001478
353,0.022599999999982856
355,0.010199999999997544
357,0.03880000000000905
359,0.028999999999996362
361,0.04259999999999309
363,0.019200000000012096
365,0.02940000000000964
367,0.033799999999985175
369,0.01120000000000232
371,0.022199999999998
373,0.011400000000008959
375,0.011799999999993815
377,0.03700000000000614
379,0.014799999999979718
381,0.023200000000002774
383,0.017200000000002547
385,0.016000000000019554
387,0.02179999999998472
389,0.020000000000010232
391,0.014399999999994861
393,0.010600000000010823
395,0.0181999999999789
397,0.06440000000000623
399,1.4715999999999951
401,0.030400000000014415
403,0.15459999999998786
405,0.088799999999992
407,0.08280000000002019
409,0.04539999999997235
411,0.15400000000002478
413,0.21959999999998558
415,0.7490000000000236
417,0.026999999999986812
419,0.06340000000000146
421,0.6396000000000015
423,0.3470000000000084
425,0.7127999999999872
427,0.28839999999999577
429,0.02039999999999509
431,0.11240000000000805
433,0.53479999999999
274,2.6998000000000104
276,0.1302000000000021
278,1.462600000000009
280,0.0181999999999789
282,0.1494000000000142
284,0.01859999999999218
286,0.15919999999999845
288,0.4140000000000157
290,0.019199999999983675
